"Address autocompletion","Adressen-Autovervollständigung"
"Address entry during the ordering process is made faster and more convenient, while minimizing address input errors.","Die Adresseingabe bei der Bestellung wird schneller und komfortabler gestaltet und zugleich Fehler bei der Adresseingabe minimiert."
Autocomplete,Autocomplete
"DATAFACTORY AUTOCOMPLETE is easily integrated into your ordering process and conveniently assists during address entry using postal data based on the original Deutsche Post postal routing data.","DATAFACTORY AUTOCOMPLETE wird einfach in Ihren Bestellprozess integriert und die Adresseingabe mit postalischen Daten auf Basis der Original-Postleitdaten der Deutschen Post komfortabel unterstützt."
"If you do not have an account yet or your account is not enabled for DATAFACTORY AUTOCOMPLETE, please use the <a href=""https://www.postdirekt.de/autocomplete"" target=""_blank"">Deutsche Post Direkt</a> website to use our address solutions.","Wenn Sie noch keinen gültigen oder aktivierten Account haben, kontaktieren Sie bitte die <a href='https://www.postdirekt.de/autocomplete' target='__blank'>Deutsche Post Direkt</a> um von unseren Adresslösungen zu profitieren."
"Module version:",Modulversion:
"More than 1.2 million different address suggestions are available, including all street names relevant for delivery, more than 16,000 postcodes with destinations, 14,000 cities, and 75,000 districts.","Insgesamt stehen mehr als 1,2 Millionen unterschiedliche Adressvorschläge zur Verfügung, darunter alle zustellrelevanten Straßen, mehr als 16.000 Postleitzahlen mit Bestimmungsorten, 14.000 Ortsnamen und 75.000 Ortsteilnamen."
"The DATAFACTORY AUTOCOMPLETE from Deutsche Post Direkt offers effective support for address collection in online business.","Die DATAFACTORY AUTOCOMPLETE von Deutsche Post Direkt bietet wirkungsvolle Unterstützung für die Adresserfassung im Onlinehandel."
"To get started:","Einfach loslegen:"
"Unable to fetch token","Token konnte nicht abgerufen werden"
"You need a valid Deutsche Post Direkt account.","Sie benötigen einen gültigen Account der Deutsche Post Direkt."
"Your customer receives up to 15 suggestions as soon as the first alphanumeric characters are entered in the input field.","Bereits bei der Eingabe der ersten alphanumerischen Zeichen in das Eingabefeld erhält Ihr Kunde bis zu 15 Vorschläge."
