"Address autocompletion","Address autocompletion"
"Address entry during the ordering process is made faster and more convenient, while minimizing address input errors.","Address entry during the ordering process is made faster and more convenient, while minimizing address input errors."
Autocomplete,Autocomplete
"DATAFACTORY AUTOCOMPLETE is easily integrated into your ordering process and conveniently assists during address entry using postal data based on the original Deutsche Post postal routing data.","DATAFACTORY AUTOCOMPLETE is easily integrated into your ordering process and conveniently assists during address entry using postal data based on the original Deutsche Post postal routing data."
"House number hint text","House number hint text"
"If you do not have an account yet or your account is not enabled for DATAFACTORY AUTOCOMPLETE, please use the <a href=""https://www.postdirekt.de/autocomplete"" target=""_blank"">Deutsche Post Direkt</a> website to use our address solutions.","If you do not have an account yet or your account is not enabled for DATAFACTORY AUTOCOMPLETE, please use the <a href=""https://www.postdirekt.de/autocomplete"" target=""_blank"">Deutsche Post Direkt</a> website to use our address solutions."
"Module version:","Module version:"
"More than 1.2 million different address suggestions are available, including all street names relevant for delivery, more than 16,000 postcodes with destinations, 14,000 cities, and 75,000 districts.","More than 1.2 million different address suggestions are available, including all street names relevant for delivery, more than 16,000 postcodes with destinations, 14,000 cities, and 75,000 districts."
"Show house number hint","Show house number hint"
"Show an infobox on the street address field, if an address suggestion was selected to remind the customer of adding their house number.","Show an infobox on the street address field, if an address suggestion was selected to remind the customer of adding their house number."
"Text displayed as infobox on street address field","Text displayed as infobox on street address field"
"The DATAFACTORY AUTOCOMPLETE from Deutsche Post Direkt offers effective support for address collection in online business.","The DATAFACTORY AUTOCOMPLETE from Deutsche Post Direkt offers effective support for address collection in online business."
"To get started:","To get started:"
"Unable to fetch token","Unable to fetch token"
"You need a valid Deutsche Post Direkt account.","You need a valid Deutsche Post Direkt account."
"Your customer receives up to 15 suggestions as soon as the first alphanumeric characters are entered in the input field.","Your customer receives up to 15 suggestions as soon as the first alphanumeric characters are entered in the input field."
